person,name,lat,lng,type,time,modernName,ancientName
刘备,平原县,37.165833,116.435,normal,约公元191年—193年,山东省德州市平原县,青州平原国平原县
刘备,徐州（下邳）,34.1193176,117.8742755,normal,公元194年—196年；公元198年—199年,江苏省徐州市睢宁县古邳镇,徐州治所下邳
刘备,许县（许都）,34.6212569,112.4561226,normal,公元196年—197年,河南省许昌市,豫州颍川郡许县/许都
刘备,新野,32.540673,112.417082,normal,公元201年—208年,河南省南阳市新野县,荆州南阳郡新野县
刘备,夏口/江陵,30.5566998,114.3109847,normal,公元208年,湖北省武汉市武昌区；湖北省荆州市,夏口属荆州江夏郡；江陵属南郡
刘备,葭萌关/涪城,32.1628836,105.8430779,normal,公元211年—214年,四川省广元市昭化区；四川省绵阳市,益州广汉郡葭萌县；涪城
刘备,成都,30.6905419,104.046546,normal,公元214年—221年（称帝前）；公元221年—223年（称帝后）,四川省成都市,益州蜀郡成都县
刘备,汉中（南郑）,33.0747243,107.0289275,normal,公元218年—219年,陕西省汉中市,汉中郡治南郑
刘备,夷陵（猇亭）,31.0013682,111.2891277,normal,公元221年—222年,湖北省宜昌市夷陵区,荆州宜都郡夷陵、猇亭一带
刘备,永安（白帝城）,23.7537272,111.7938526,normal,公元222年—223年,重庆市奉节县白帝镇,巴东郡鱼复县/永安/白帝城
